ViT-B/16;clip_baseline;clip_description;clip_comparative;clip_comparative_filtering;clip_waffle
Birdsnap; 41.32%; 41.20%; 41.44%; 41.32%; 42.18%
Caltech_256; 84.33%; 86.96%; 86.68%; 86.59%; 85.62%
CompCars;  0.16%;  0.25%;  0.24%;  0.19%;  0.20%
CUB_200_2011; 55.12%; 56.65%; 56.05%; 55.89%; 55.56%
DTD; 43.62%; 44.36%; 46.40%; 50.60%; 43.50%
FGVC_Aircraft; 33.18%; 34.53%; 33.03%; 31.89%; 33.53%
Flavia_Leaves;  6.78%;  5.36%;  8.61%;  9.14%;  9.15%
food-101; 84.93%; 85.69%; 85.40%; 85.26%; 86.23%
FoodX-251; 65.35%; 66.97%; 67.03%; 65.79%; 67.44%
Leaf; 16.73%; 11.04%; 11.62%; 14.23%; 16.25%
Leeds_Butterfly; 56.49%; 53.25%; 58.65%; 65.99%; 58.22%
LZUPSD;  0.78%;  0.49%;  1.09%;  0.93%;  0.78%
MIT_Indoor_Scenes; 75.89%; 79.25%; 80.31%; 82.48%; 77.96%
MNIST_Butterfly; 31.00%; 32.60%; 30.20%; 31.40%; 29.54%
NA_Fish; 60.31%; 66.94%; 66.68%; 65.41%; 62.35%
Oxford-IIIT_Pet_Dataset; 82.92%; 84.29%; 83.66%; 84.31%; 83.73%
Oxford_Flowers_192; 67.36%; 71.52%; 73.23%; 73.35%; 69.68%
SlowSketch; 76.26%; 71.15%; 75.85%; 74.03%; 76.48%
Stanford_Cars; 64.19%; 63.52%; 65.15%; 62.56%; 64.29%
Stanford_Dogs; 61.75%; 62.60%; 63.19%; 61.58%; 62.64%
