RN50x16;clip_baseline;clip_description;clip_comparative;clip_comparative_filtering;clip_waffle
Birdsnap; 45.34%; 42.98%; 45.93%; 46.99%; 43.67%
Caltech_256; 82.14%; 87.22%; 87.23%; 87.13%; 84.67%
CompCars;  0.14%;  0.24%;  0.26%;  0.21%;  0.20%
CUB_200_2011; 56.96%; 56.65%; 56.43%; 55.93%; 55.82%
DTD; 48.39%; 49.84%; 50.32%; 49.75%; 47.84%
FGVC_Aircraft; 36.96%; 37.92%; 34.20%; 31.05%; 35.86%
Flavia_Leaves; 16.18%; 11.19%; 16.81%; 21.53%; 14.92%
food-101; 84.60%; 86.66%; 86.72%; 86.20%; 87.72%
FoodX-251; 63.71%; 67.66%; 67.82%; 64.54%; 68.49%
Leaf; 20.34%;  9.66%; 10.23%;  9.66%; 17.33%
Leeds_Butterfly; 67.55%; 52.76%; 59.25%; 62.86%; 69.59%
LZUPSD;  1.00%;  1.36%;  1.29%;  1.69%;  1.19%
MIT_Indoor_Scenes; 76.97%; 79.62%; 81.29%; 82.43%; 79.99%
MNIST_Butterfly; 33.00%; 31.80%; 31.60%; 33.00%; 30.17%
NA_Fish; 58.56%; 62.58%; 59.54%; 59.10%; 59.01%
Oxford-IIIT_Pet_Dataset; 85.29%; 88.83%; 87.31%; 85.34%; 86.87%
Oxford_Flowers_192; 68.95%; 71.27%; 73.11%; 74.94%; 70.90%
SlowSketch; 76.09%; 78.26%; 81.26%; 75.09%; 77.70%
Stanford_Cars; 70.95%; 70.63%; 70.85%; 66.67%; 71.06%
Stanford_Dogs; 64.93%; 65.91%; 67.23%; 64.19%; 66.81%
